jdk::String::equals
apache::FilterListIterator::getListIterator [0.9013988958260263]
apache::SingletonListIterator::previous [0.8969078171639464]
apache::EmptyOrderedIterator::EmptyOrderedIterator [0.8958700015354932]
apache::EmptyListIterator::emptyListIterator [0.8932224046072488]
apache::ObjectArrayIterator::getArray [0.8915287512614333]
apache::PeekingIterator::peek [0.8908801081083193]
apache::ReverseListIterator::previousIndex [0.8870348178160277]

jdk::List::get
apache::StaticBucketMap::putAll [0.8300088147348357]
apache::AbstractInputCheckedMapDecorator::checkSetValue [0.8276908741373541]
apache::ExtendedMessageFormat::setFormatByArgumentIndex [0.8210782948917219]
apache::AbstractMapIteratorDecorator::AbstractMapIteratorDecorator [0.8169248137089362]
apache::CompositeSet::iterator [0.8124247268573119]
apache::MapIterator::setValue [0.8117438682132634]
apache::SplineInterpolator::interpolate [0.8115184338019081]
apache::BagUtils::transformingBag [0.8105647747247315]
apache::PeekingIterator::PeekingIterator [0.8087173945880154]
apache::DateUtils::setHours [0.8078356554153481]

jdk::Iterator::hasNext
apache::LoopingListIterator::hasPrevious [0.9048283851351612]
apache::PushbackIterator::PushbackIterator [0.8615870130851853]
apache::FilterListIterator::setListIterator [0.8406751534259732]
apache::LineIterator::hasNext [0.8399785045466148]
apache::PeekingIterator::PeekingIterator [0.8388944246924769]
apache::FilterListIterator::getListIterator [0.8293025144228185]
apache::ListIteratorWrapper::hasPrevious [0.8288093615492095]
apache::PeekingIterator::peek [0.8217462881167402]
apache::ObjectArrayIterator::getArray [0.8151653887052766]
apache::OpenIntToDoubleHashMap::advance [0.8130446322166874]

jdk::String::indexOf
apache::StrBuilder::lastIndexOf [0.8061921884047248]
apache::StringUtils::replaceEach [0.804375704639138]
apache::StringUtils::indexOfAny [0.7803380020832955]
apache::StringUtils::abbreviateMiddle [0.7663076234406244]
apache::StringUtils::substring [0.7634269505646218]
apache::StringUtils::indexOf [0.7538848351862334]
apache::StringUtils::indexOfDifference [0.7496370947331613]
apache::StringUtils::remove [0.7482369295558354]
apache::StringUtils::removePattern [0.7438147280468482]
apache::StringUtils::countMatches [0.7397800205605681]

jdk::ArrayList::add
apache::StrTokenizer::addToken [0.8308785502330448]
apache::NonPositiveDefiniteMatrixException::getColumn [0.8251602212527992]
apache::LinkedMap::remove [0.8249948171189663]
apache::ValidatorAction::handleIndexedField [0.8224711208095434]
apache::ListOrderedSet::get [0.8162513666644385]
apache::FTPListParseEngine::hasNext [0.8108017963352445]
apache::StrBuilder::validateIndex [0.8054220320246563]
apache::SequencesComparator::Snake [0.8033565487453016]
apache::ListOrderedSet::retainAll [0.802822626444055]
apache::EventState::getEventTime [0.8021733783799463]

jdk::String::trim
apache::TreeBidiMap::setRed [0.8972775201481008]
apache::ArcsSet::projectToBoundary [0.8953144354097086]
apache::DoublePoint::equals [0.894704861335025]
apache::Quaternion::getScalarPart [0.8938754591175171]
apache::URI::setURI [0.8927858368983022]
apache::UnicodeUnpairedSurrogateRemover::translate [0.8919637929516141]
apache::SparseFieldVector::mapDivideToSelf [0.8907127418257582]
apache::URI::hasAuthority [0.8886388144208963]
apache::URI::hasFragment [0.8885351691102541]
apache::URI::hasQuery [0.8884180295070214]

jdk::String::equalsIgnoreCase
apache::TreeBidiMap::inverseBidiMap [0.8492645113268426]
apache::AbstractCalendarValidator::compareQuarters [0.8427367114047605]
apache::TimeStamp::compareTo [0.8370584874370264]
apache::CalendarValidator::compareQuarters [0.8318607609536579]
apache::IntDoublePair::IntDoublePair [0.8263658345647383]
apache::NullComparator::compare [0.8223005368617794]
apache::TimeValidator::compareSeconds [0.8170543886713215]
apache::FilenameUtils::equalsOnSystem [0.814951221927051]
apache::MathUtils::equals [0.814680759241379]
apache::ReferenceIdentityMap::isEqualValue [0.8138896856255697]

jdk::Integer::parseInt
apache::MutableInt::MutableInt [0.7633938468341784]
apache::FTP::isStrictMultilineParsing [0.7555605589725701]
apache::Fraction::getFraction [0.7548031232893158]
apache::MutableLong::MutableLong [0.7529536785974495]
apache::Fraction::divide [0.7467527756732818]
apache::Dfp::intValue [0.7449008371301724]
apache::NumberUtils::isParsable [0.7442629901246797]
apache::HeaderElement::parse [0.7373364719661489]
apache::IMAP::sendCommand [0.736357384873279]
apache::ProperFractionFormat::parse [0.7355541646962475]

jdk::String::startsWith
apache::FTPTimestampParserImpl::setRecentDateFormat [0.8459896701572164]
apache::OpenMapRealVector::isDefaultValue [0.8377792905976087]
apache::StringUtils::isAlphanumericSpace [0.8365032299183446]
apache::FTPFile::toString [0.8362436087220265]
apache::ParameterParser::parseToken [0.8360900095621667]
apache::CharRange::isNegated [0.8360868475597296]
apache::URI::setRawQuery [0.8353467907050842]
apache::URI::getFragment [0.8353416834426696]
apache::OpenMapRealVector::getEntries [0.8351208186843976]
apache::TypeUtils::wildcardType [0.8332563874849884]

jdk::String::charAt
apache::ConfigurableFTPFileEntryParserImpl::getDefaultConfiguration [0.8138463632652371]
apache::ResizableDoubleArray::setElement [0.810145152305639]
apache::MultiValuedMap::get [0.8077934363851665]
apache::ValidatorAction::generateJsFunction [0.8047943176720219]
apache::ArrayUtils::copyArrayGrow [0.8039392305347407]
apache::FastDatePrinter::TimeZoneNameRule [0.7988443265381425]
apache::AbstractHashedMap::get [0.797245289463315]
apache::MacOsPeterFTPEntryParser::getDefaultConfiguration [0.7968527195468844]
apache::CharSequenceReader::CharSequenceReader [0.7961728608686426]
apache::AbstractNumberValidator::getFormatType [0.7936015693820053]
jdk::System::currentTimeMillis
apache::DatePrinter::getTimeZone [0.6936289907940876]
apache::Circle::getOffset [0.6894678994574996]
apache::Dfp::linearCombination [0.6649572052868297]
apache::StopWatch::getNanoTime [0.6540796998578889]

jdk::Thread::sleep
apache::TimeoutController::execute [0.7829619754068716]
apache::FTPClient::setControlKeepAliveTimeout [0.7529833022752505]
apache::TimeoutController::TimeoutException [0.7318074548878832]
apache::ConnectMethod::execute [0.7210750243993569]
apache::RandomData::nextGaussian [0.7142614934626357]
apache::StopWatch::getNanoTime [0.7093361614616365]
apache::TimedSemaphore::getLastAcquiresPerPeriod [0.7068912045854256]
apache::DerivativeStructure::toRadians [0.6978193365820321]
apache::SocketClient::getConnectTimeout [0.6956540772719185]
apache::DescriptiveStatistics::getSkewness [0.6935541633290928]

jdk::String::valueOf
apache::EndianUtils::writeSwappedInteger [0.6522075388302575]
apache::MutableFloat::MutableFloat [0.6454641825006101]
apache::Conversion::binaryToLong [0.6333188506031715]
apache::Number::floatValue [0.62937832415712]
apache::HttpConstants::getAsciiString [0.6275110949821673]
apache::Complex::valueOf [0.6252352662924874]
apache::EndianUtils::readSwappedShort [0.6207994571020303]
apache::EncodingUtil::getBytes [0.6188766380895903]
apache::EndianUtils::writeSwappedShort [0.6091666870004239]
apache::CharSetUtils::count [0.6087981563605868]

jdk::Arrays::asList
apache::List::set [0.6363964724848004]
apache::OpenIntToFieldHashMap::advance [0.6260922029871685]
apache::Part::sendTransferEncodingHeader [0.6121540268528123]
apache::MultiBackgroundInitializer::isException [0.602136427105468]
apache::Enumeration::Enumeration [0.5978731991967444]
apache::Cookie::setDomainAttributeSpecified [0.597627137611177]
apache::CursorableLinkedList::readObject [0.5973950538404244]
apache::ConstantInitializer::getObject [0.597065316007566]
apache::HarmonicFitter::guessPhi [0.5938403199731922]
apache::TWO::TWO [0.5925239186115449]

jdk::HashMap::put
apache::OpenIntToFieldHashMap::get [0.9414598743502338]
apache::StaticBucketMap::containsKey [0.932634711704782]
apache::SingletonMap::firstKey [0.924214031623679]
apache::Arg::getKey [0.923025396302608]
apache::MapUtils::getShortValue [0.9229093401585231]
apache::StaticBucketMap::get [0.9207176793083757]
apache::EmptyMapIterator::emptyMapIterator [0.9145547626161331]
apache::AbstractHashedMap::containsKey [0.9124048980002406]
apache::TreeBidiMap::putAll [0.9117559021370318]
apache::OpenIntToDoubleHashMap::remove [0.9077639295412706]

jdk::System::arraycopy
apache::ResizableDoubleArray::copy [0.692811707679019]
apache::MathArrays::copyOf [0.6860126406420831]
apache::FileUtils::copyDirectory [0.6812308473799177]
apache::FileUtils::copyDirectoryToDirectory [0.6496226234824409]
apache::FileUtils::copyFileToDirectory [0.6429160096122415]
apache::StrSubstitutor::replaceIn [0.6234176246331039]
apache::Conversion::binaryToLong [0.6216595761872977]
apache::Max::Max [0.6215451200631679]
apache::Util::copyReader [0.620212143437594]
apache::StringUtils::replaceOnce [0.6197612518464585]

jdk::PrintWriter::println
apache::ChunkedInputStream::readCRLF [0.7545867856191567]
apache::ContentLengthInputStream::skip [0.7514839003840715]
apache::CharSetUtils::count [0.7422962934622463]
apache::SwappedDataInputStream::readInt [0.74157459247872]
apache::ProxyInputStream::read [0.7263092520868341]
apache::SwappedDataInputStream::readUnsignedShort [0.724200620779339]
apache::SwappedDataInputStream::readLong [0.7184083019809689]
apache::BOMInputStream::read [0.7152998603865276]
apache::NullWriter::append [0.7085325903900133]
apache::SwappedDataInputStream::readFloat [0.7066755329531754]

jdk::String::format
apache::BigFractionFormat::getAvailableLocales [0.800628003027995]
apache::RealVectorFormat::getInstance [0.7903582393658729]
apache::Complex::cos [0.7850309251423361]
apache::FormatFactory::getFormat [0.7770799939130848]
apache::NNTPClient::listOverviewFmt [0.7678867801940451]
apache::FTPTimestampParserImpl::setDefaultDateFormat [0.7667370144688285]
apache::VectorFormat::getFormat [0.7660840123679292]
apache::ExtendedMessageFormat::readArgumentIndex [0.7658166194447239]
apache::InvokerTransformer::invokerTransformer [0.7630702353161588]
apache::EditCommand::getObject [0.7620882188908216]

jdk::File::exists
apache::FileAlterationObserver::getFileFilter [0.9448078515622295]
apache::SumOfClusterVariances::score [0.9444990365009455]
apache::SynchronizedMultivariateSummaryStatistics::getN [0.9439371915375891]
apache::FTPFile::isDirectory [0.9428348798466109]
apache::AndFileFilter::accept [0.9414402683552828]
apache::Range::contains [0.9414188074677947]
apache::AbstractBitwiseTrie::compare [0.940324842799109]
apache::FileAlterationObserver::getDirectory [0.9391565475034961]
apache::SparseGradient::rootN [0.9386523781832096]
apache::EulerFieldIntegrator::getC [0.9382057826926357]
jdk::Object::getClass
apache::Class::getSimpleName [0.7451975976369073]
apache::GraggBulirschStoerStepInterpolator::estimateError [0.7256981362068032]
apache::Part::sendEndOfHeader [0.7198337796066832]
apache::Circle::CircleTransform [0.718850376505795]
apache::Hyperplane::getTolerance [0.7170212155414825]
apache::ExpandableStatefulODE::SecondaryComponent [0.7067419494309749]
apache::DerivativeStructure::getPartialDerivative [0.7022961187943091]
apache::Diffable::diff [0.6995913206715934]
apache::FieldUtils::writeDeclaredField [0.6945813304772713]
apache::FieldDecompositionSolver::getInverse [0.6926566570448314]
jdk::String::getBytes
apache::URI::decode [0.7439894526626651]
apache::URL::URL [0.7337486259901886]
apache::Conversion::binaryToLong [0.7334897892755532]
apache::CharSequenceInputStream::CharSequenceInputStream [0.712982690301653]
apache::IOUtils::toCharArray [0.711367209573874]
apache::XmlStreamReader::doHttpStream [0.7112533903141798]
apache::Charsets::Charsets [0.7097776240285403]
apache::IOUtils::toInputStream [0.6975533668934362]
apache::CharSequenceUtils::toCharArray [0.6973333028896366]
apache::EndianUtils::readSwappedShort [0.6968813712202699]
com.medallia.word2vec.Searcher$UnknownWordException: Unknown search word 'jdk::Exception::printStackTrace'
	at com.medallia.word2vec.SearcherImpl.getVector(SearcherImpl.java:85)
	at com.medallia.word2vec.SearcherImpl.getMatches(SearcherImpl.java:35)
	at com.medallia.word2vec.Word2VecProcessingJava.getMappedAPIs(Word2VecProcessingJava.java:196)
	at edu.iastate.ece.api2vec.APIMappings.doJDKApacheMapping(APIMappings.java:37)
	at edu.iastate.ece.api2vec.APIMappings.main(APIMappings.java:21)
jdk::Set::add
apache::CompositeSet::addAll [0.8165420993042284]
apache::CompositeSet::retainAll [0.8044912913753639]
apache::SetUtils::newIdentityHashSet [0.801997250811623]
apache::CompositeSet::removeAll [0.796941384337474]
apache::TreeBidiMap::entrySet [0.7952371624776855]
apache::NavigableSet::NavigableSet [0.7895056704051832]
apache::TransformedSortedSet::TransformedSortedSet [0.7847513993177426]
apache::Range::isBefore [0.7764331949440276]
apache::CompositeSet::isEmpty [0.776212011078385]
apache::BetaDistribution::getSolverAbsoluteAccuracy [0.7727378310986445]
jdk::String::split
apache::SubHyperplane::getSide [0.7315740181550988]
apache::ArcsSet::getMinus [0.7281980575209529]
apache::ParsePosition::ParsePosition [0.7242687089838503]
apache::ArcsSet::getSide [0.7241301408724794]
apache::DerivativeStructure::subtract [0.7216102410571288]
apache::StopWatch::getSplitNanoTime [0.7084670244582963]
apache::PolygonsSet::split [0.7073689902281369]
apache::DfpField::getLn [0.7041261711582111]
apache::SingularValueDecomposition::getConditionNumber [0.7005739933319785]
apache::StringUtils::splitByWholeSeparator [0.6993307541715127]
jdk::ArrayList::get
apache::ArrayListIterator::next [0.9196082396984709]
apache::MutableTriple::setRight [0.9179992410050393]
apache::SortedBag::last [0.9140638052223682]
apache::CursorableLinkedList::nextIndex [0.9133426022823163]
apache::Triple::getLeft [0.9110157015792106]
apache::NonPositiveDefiniteMatrixException::getColumn [0.908692100409219]
apache::ArrayRealVector::mapToSelf [0.9056428150261535]
apache::PolyhedronsSet::visitLeafNode [0.9045636633654642]
apache::IMAPImportMbox::wanted [0.9035215134806072]
apache::CursorableLinkedList::Cursor [0.902988103568997]
jdk::Object::toString
apache::AbstractMapBag::toString [0.7167191633320174]
apache::AbstractFormat::format [0.7124488952441796]
apache::ToStringStyle::appendContentEnd [0.7000019325712685]
apache::MultilineRecursiveToStringStyle::MultilineRecursiveToStringStyle [0.6801433778820809]
apache::HttpConstants::getBytes [0.6715983946981918]
apache::FTPTimestampParserImpl::setServerTimeZone [0.6707193322586893]
apache::RecursiveToStringStyle::RecursiveToStringStyle [0.6644297655142986]
apache::ObjectUtils::identityToString [0.6609290220649974]
apache::NTCredentials::toString [0.658034598321591]
apache::StrBuilder::rightString [0.6569046743796294]
com.medallia.word2vec.Searcher$UnknownWordException: Unknown search word 'jdk::Exception::getMessage'
	at com.medallia.word2vec.SearcherImpl.getVector(SearcherImpl.java:85)
	at com.medallia.word2vec.SearcherImpl.getMatches(SearcherImpl.java:35)
	at com.medallia.word2vec.Word2VecProcessingJava.getMappedAPIs(Word2VecProcessingJava.java:196)
	at edu.iastate.ece.api2vec.APIMappings.doJDKApacheMapping(APIMappings.java:37)
	at edu.iastate.ece.api2vec.APIMappings.main(APIMappings.java:21)
jdk::String::contains
apache::BaseResultSetHandler::absolute [0.9380192478503071]
apache::IgnoreCookiesSpec::pathMatch [0.9361893321959731]
apache::ResultSetIterator::remove [0.9358490012652679]
apache::ArrayRealVector::ebeDivide [0.9343834335373463]
apache::BinomialDistribution::cumulativeProbability [0.9338539811322876]
apache::SingletonMap::size [0.9338527776903606]
apache::DoublePoint::getPoint [0.9334806758611268]
apache::BaseResultSetHandler::isAfterLast [0.9333636923279687]
apache::PolynomialSplineFunction::isValidPoint [0.9325428447687217]
apache::RandomDataImpl::nextSecureInt [0.9323543230755607]
jdk::File::getAbsolutePath
apache::FileAlterationListenerAdaptor::onDirectoryChange [0.8809385958647407]
apache::LockableFileWriter::createLock [0.8390310034059045]
apache::FileAlterationObserver::removeListener [0.8366182909640771]
apache::FTPFile::isDirectory [0.8353704495294224]
apache::NTFTPEntryParser::NTFTPEntryParser [0.8345257680460196]
apache::FTP::rnfr [0.8322505271490414]
apache::FilenameUtils::getFullPathNoEndSeparator [0.8296104103475246]
apache::TrueFileFilter::accept [0.8293304579020904]
apache::AbstractFileComparator::AbstractFileComparator [0.8240740536447677]
apache::DelegateFileFilter::accept [0.8229066971553133]
jdk::ArrayList::size
